planning_period,tau,price_EUR_per_MWh
3,80,115.776
3,81,113.124
3,82,114.68399999999998
3,83,122.88
3,84,169.794
3,85,132.81
3,86,118.65599999999999
3,87,117.654
3,88,117.798
3,89,118.836
3,90,115.60199999999999
3,91,109.30199999999999
3,92,107.83800000000001
3,93,106.28399999999999
3,94,104.96999999999998
3,95,109.30199999999999
3,96,113.268
3,97,109.722
3,98,101.388
3,99,99.954
3,100,102.174
3,101,108.432
3,102,111.858
3,103,109.77
3,104,98.83800000000001
3,105,95.682
3,106,98.352
3,107,98.75999999999999
3,108,99.88199999999999
3,109,100.26
3,110,93.852
3,111,85.944
4,0,54.248999999999995
4,1,55.0875
4,2,55.633500000000005
4,3,58.6625
4,4,62.023
4,5,62.673
4,6,61.43150000000001
4,7,61.789
4,8,59.9235
4,9,59.9755
4,10,60.606
4,11,58.682
4,12,56.94
4,13,57.304
4,14,57.239000000000004
4,15,61.652499999999996
4,16,64.597
4,17,63.6285
4,18,60.489000000000004
4,19,60.48250000000001
4,20,59.99500000000001
4,21,60.54750000000001
4,22,60.72950000000001
4,23,56.901
4,24,54.5155
4,25,51.181000000000004
4,26,51.778999999999996
4,27,56.29650000000001
4,28,62.373999999999995
4,29,62.53
4,30,60.8855
4,31,60.46300000000001
4,32,60.216
4,33,61.4575
4,34,62.0035
4,35,60.5865
4,36,58.7665
4,37,58.175000000000004
4,38,59.6375
4,39,62.660000000000004
4,40,64.44099999999999
4,41,64.09
4,42,63.86900000000001
4,43,63.661
4,44,63.453
4,45,63.18000000000001
4,46,63.186499999999995
4,47,61.5485
4,48,57.9215
4,49,54.970499999999994
4,50,55.185
4,51,61.035000000000004
4,52,63.6415
4,53,63.57
4,54,62.51700000000001
4,55,62.179
4,56,109.5835
4,57,110.47399999999999
4,58,109.6485
4,59,124.41000000000001
4,60,160.11450000000002
4,61,118.43650000000001
4,62,104.42900000000002
4,63,92.807
4,64,100.061
4,65,112.528
4,66,149.6885
4,67,130.78
4,68,116.5645
4,69,117.923
4,70,119.6975
4,71,131.118
4,72,183.66400000000002
4,73,143.8255
4,74,124.0915
4,75,120.93900000000001
4,76,123.9485
4,77,134.888
4,78,141.82999999999998
4,79,135.6485
4,80,125.424
4,81,122.551
4,82,124.241
4,83,133.12
4,84,183.9435
4,85,143.8775
4,86,128.544
4,87,127.4585
4,88,127.6145
4,89,128.739
4,90,125.2355
4,91,118.4105
4,92,116.82450000000001
4,93,115.14099999999999
4,94,113.7175
4,95,118.4105
4,96,122.70700000000001
4,97,118.86550000000001
4,98,109.83700000000002
4,99,108.2835
4,100,110.68850000000002
4,101,117.468
4,102,121.1795
4,103,118.91749999999999
4,104,107.07450000000001
4,105,103.6555
4,106,106.54800000000002
4,107,106.99
4,108,108.2055
4,109,108.61500000000002
4,110,101.67300000000002
4,111,93.10600000000001
